Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport country,Foot,Height,Weight,On loan,Succ. def. per 90,Def duels per 90,Def duels won %,Aerial duels per 90,Aerial duels won %,Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Succ. att. actions,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals total,Head goals per 90,Shots total,Shots per 90,Shots on target %,"Goal conv., %",Assists per 90,Crosses per 90,"Crosses, %",Crosses from left per 90,"Crosses from left, %",Crosses from right per 90,"Crosses from right, %",Crosses to goalie box per 90,Dribbles per 90,Dribbles succ. %,Off duels per 90,Off duels won %,Touches in box per 90,Progressive runs per 90,Passes per 90,Passes acc. %,Fwd passes per 90,Fwd passes acc. %,Back passes per 90,Back passes acc. %,Lat passes per 90,Lat passes acc. %,Sh/m passes per 90,Sh/m passes acc. %,Lng passes per 90,Lng passes acc. %,"Avg pass length, m","Avg lng pass length, m",xA per 90,Second assists per 90,Third assists per 90,Smt passes per 90,Smt passes acc. %,Key passes per 90,Final 3rd passes per 90,Final 3rd passes acc. %,Passes to penalty area per 90,Passes to penalty area acc. %,Thru passes per 90,Thru passes acc. %,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Goals total,Goals per 90,Shots total,Shots per 90,Clean sheets,Save %,xG against,xG against per 90,Back passes to GK per 90,Exits per 90,Punches per 90,"Punches, %",Claims per 90,Claim/punch ratio,Aerial duels per 90,Aerial duels won %,FKs per 90,DFKs per 90,DFKs on target %,Corners per 90,Penalties taken,Penalty conversion %,League
P. Skjelbred,Rosenborg,DMF,33,1000000,2022-12-31,2,137,0,0,0,0,Norway,Norway,right,178,73,no,9.2,10.51,75,1.97,66.67,0,0,0,1.31,1.67,2.63,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,33.33,3.94,33.33,0,3.94,72.26,88.18,18.39,75,9.2,100,33.5,94.12,68.32,90.38,3.94,50,19.18,30.44,0,0,0,0,0,0,9.2,92.86,0,0,0,0,0,0,10.51,50,0,,0,,0,0,0,0,0.66,,,,,,,,0,0,0,0,0,0,Norwegian First Div
E. Bohinen,Stabæk,"DMF, RDMF, LCMF",21,1000000,2022-07-31,10,954,2,1.99,1,0.51,England,"England, Norway",left,185,75,no,10.66,6.89,61.64,3.58,65.79,0.94,1.14,0.28,5.47,6.62,1.13,2,0.19,0,0,3.11,0.19,0,0,0.19,0,0,15,1.42,33.33,13.333,0.09,0.66,14.29,0.28,0,0.38,25,0.19,3.77,67.5,9.34,53.54,1.23,3.21,44.25,88.49,13.3,78.01,6.13,98.46,17.36,95.65,41.89,90.99,1.98,61.9,17.37,27.28,0.05,0.09,0,0.09,0,0.09,5,86.79,1.32,57.14,0.38,50,0.85,0,5.66,75,0,,0,,0,0,0,0,0.66,,,,,,,,1.79,0.57,33.33,1.32,2,100,Norwegian First Div
B. Meling,Nîmes,LB,25,1000000,2023-06-30,3,172,0,0,0,0.25,Norway,Norway,left,173,64,no,11.51,3.66,85.71,2.62,80,0.52,0.59,1.05,7.85,8.82,1.05,0,0,1,0.52,2.62,0,0,0,0,0,0,0,0,0,0,0,4.71,22.22,4.71,22.22,0,0,0.52,1.05,100,2.62,80,1.57,1.57,34.53,77.27,9.42,66.67,6.8,100,10.47,70,25.64,91.84,5.23,40,25.95,34.96,0.13,0,0,1.05,50,0.52,4.19,75,3.14,83.33,1.05,100,2.09,1.05,9.42,77.78,0,,0,,0,0,0,0,0.52,,,,,,,,0,0,0,0,0,0,Norwegian First Div
P. Zinckernagel,Bodø / Glimt,"RWF, RW",25,1000000,2020-12-31,12,1069,8,6.7,7,5.68,Denmark,Denmark,right,175,70,no,3.96,6.23,50,1.18,35.71,0,0,0,0.84,1.42,1.85,2,0.17,0,0,8.5,0.67,5,0.42,0.56,0,0,47,3.96,44.68,17.021,0.59,4.55,44.44,0.25,66.67,4.29,43.14,0.67,9.01,50.47,12.46,45.27,4.55,3.37,33.76,75.06,6.74,60,8,95.79,11.7,69.06,28.46,80.47,1.18,57.14,16.23,25.81,0.48,0.08,0.17,1.18,14.29,1.68,1.77,47.62,4.97,49.15,0.93,9.09,2.44,1.94,4.97,84.75,0,,0,,0,0,0,0,0.08,,,,,,,,2.19,0.67,25,6.4,4,75,Norwegian First Div
J. Hauge,Bodø / Glimt,"LWF, LW",20,1000000,2021-12-31,11,1010,7,3.83,3,2.44,Norway,Norway,right,184,75,no,4.54,4.81,59.26,1.16,30.77,0.09,0.15,0.09,1.6,2.63,0.62,2,0.18,0,0,7.75,0.62,7,0.62,0.34,0,0,29,2.58,48.28,24.138,0.27,2.32,38.46,1.87,38.1,0.36,50,0.8,6.95,66.67,13.01,49.32,7.13,4.72,48.74,84.28,9.89,75.68,9.71,96.33,19.25,90.28,44.73,86.85,1.87,80.95,17.5,28.7,0.22,0.27,0.09,2.05,47.83,0.8,4.54,84.31,4.28,62.5,1.6,55.56,3.74,0.8,5.97,92.54,0,,0,,0,0,0,0,0.09,,,,,,,,0,0,0,0.36,0,0,Norwegian First Div
M. Wolff Eikrem,Molde,AMF,29,1000000,2022-12-31,12,739,3,1.94,5,2.89,Norway,Norway,right,173,69,no,3.65,3.04,52,0.49,75,0.49,0.69,0,1.58,2.24,0.61,2,0.24,0,0,5.72,0.37,3,0.37,0.24,0,0,23,2.8,47.83,13.043,0.61,2.56,42.86,0.85,42.86,1.71,42.86,0.85,3.53,58.62,5.12,50,3.78,2.07,49.93,81.71,17.78,76.71,7.43,91.8,16.32,86.57,42.38,86.49,5.12,61.9,18.52,34.11,0.35,0.24,0.12,2.44,50,1.34,8.16,77.61,6.7,67.27,3.65,60,4.14,1.22,9.86,85.19,0,,0,,0,0,0,0,0.12,,,,,,,,0.85,0.61,40,5.6,0,0,Norwegian First Div
E. Hestad,Molde,"RAMF, AMF",25,1000000,2021-12-31,12,752,2,1.63,1,1.41,Norway,Norway,left,183,75,no,6.58,5.86,57.14,0.48,0,0.84,1.22,0.24,2.39,3.49,0.84,2,0.24,0,0,2.63,0.24,2,0.24,0.19,0,0,8,0.96,37.5,25,0.12,0.96,37.5,0.6,40,0.36,33.33,0.48,2.75,43.48,6.58,41.82,3.11,2.75,50.51,87.68,16.88,79.43,12.09,94.06,11.73,92.86,48.47,89.63,1.2,50,14.8,17.33,0.17,0,0.12,1.68,42.86,0.48,5.51,76.09,3.71,64.52,1.44,33.33,2.51,0.36,5.51,84.78,0,,0,,0,0,0,0,0,,,,,,,,0.6,0,0,0.24,0,0,Norwegian First Div
A. Hansen,Rosenborg,GK,30,900000,2023-12-31,6,506,0,0,0,0,Norway,Norway,right,189,87,no,1.42,0.18,100,0,0,0,0,0,1.25,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,100,0,0,18.14,89.22,12.98,84.93,0,0,4.8,100,9.43,98.11,8.72,79.59,40.25,51.56,0,0,0,0,0,0,1.78,90,0.18,100,0,0,0.18,0,7.83,86.36,6,1.07,17,3.02,1,64.71,7.24,1.29,0,1.6,0,0,1.25,0,0,0,,,,0,0,0,Norwegian First Div
A. Trondsen,Rosenborg,LB,25,900000,2021-12-31,12,969,1,0.12,2,1.43,Norway,Norway,left,183,78,no,8.73,5.85,52.38,3.16,67.65,0.28,0.38,0.28,5.39,7.44,1.02,3,0.28,0,0,3.99,0.09,1,0.09,0.01,0,0,2,0.19,100,50,0.19,3.34,36.11,3.34,36.11,0,0,0.65,3.62,69.23,6.97,56,1.3,2.51,48.11,81.47,18.3,74.11,8.27,94.38,14.4,81.94,40.4,88.74,4.64,48,18.1,28.18,0.13,0,0,0.19,50,0.46,5.2,73.21,2.79,43.33,0.56,16.67,0.84,1.21,9.66,75,0,,0,,0,0,0,0,0.28,,,,,,,,0.09,0,0,0,0,0,Norwegian First Div
S. Adegbenro,Rosenborg,"LWF, LW",24,900000,2021-12-31,4,287,0,0.17,0,0.49,Nigeria,Nigeria,right,178,75,no,4.39,4.08,84.62,1.57,40,0,0,0,0.94,1.13,0.63,0,0,0,0,8.78,0,0,0,0.05,0,0,2,0.63,100,0,0,3.45,18.18,3.45,18.18,0,0,0,9.41,76.67,16.93,55.56,3.45,6.27,17.87,71.93,2.2,71.43,4.08,84.62,5.33,64.71,14.11,86.67,0.31,0,17.95,14.66,0.15,0,0,0.63,50,0.31,0.94,66.67,1.57,20,0,0,0.63,0.63,0.94,100,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,Norwegian First Div
